country,director,genre,name,score,star,writer,success
USA,John G. Avildsen,Action,The Karate Kid Part II,5.9,Pat Morita,Robert Mark Kamen,Flop
USA,Nick Castle,Drama,The Boy Who Could Fly,6.5,Lucy Deakins,Nick Castle,Average
USA,Robert Harmon,Thriller,The Hitcher,7.3,Rutger Hauer,Eric Red,Hit
USA,Richard Benjamin,Comedy,The Money Pit,6.3,Tom Hanks,David Giler,Average
USA,Tom McLoughlin,Horror,Jason Lives: Friday the 13th Part VI,5.9,Thom Mathews,Tom McLoughlin,Flop
USA,Peter Weir,Adventure,The Mosquito Coast,6.6,Harrison Ford,Paul Theroux,Average
USA,Don Bluth,Animation,An American Tail,6.9,Dom DeLuise,Judy Freudberg,Average
USA,John Guillermin,Action,King Kong Lives,3.8,Brian Kerwin,Ronald Shusett,Flop
USA,Stuart Gordon,Horror,From Beyond,6.7,Jeffrey Combs,H.P. Lovecraft,Average
USA,Francis Ford Coppola,Comedy,Peggy Sue Got Married,6.3,Kathleen Turner,Jerry Leichtling,Average
USA,Brian Gibson,Horror,Poltergeist II: The Other Side,5.7,JoBeth Williams,Mark Victor,Flop
USA,John Carl Buechler,Comedy,Troll,4.3,Michael Moriarty,Ed Naha,Flop
USA,Peter Hyams,Action,Running Scared,6.5,Gregory Hines,Gary DeVore,Average
USA,Michael Ritchie,Comedy,Wildcats,5.9,Goldie Hawn,Ezra Sacks,Flop
USA,John McNaughton,Biography,Henry: Portrait of a Serial Killer,7,Michael Rooker,Richard Fire,Hit
USA,Harry Winer,Adventure,SpaceCamp,5.6,Kate Capshaw,Clifford Green,Flop
USA,Woody Allen,Comedy,Hannah and Her Sisters,8,Mia Farrow,Woody Allen,Hit
USA,Ron Clements,Animation,The Great Mouse Detective,7.2,Vincent Price,Peter Young,Hit
USA,John Irvin,Action,Raw Deal,5.5,Arnold Schwarzenegger,Luciano Vincenzoni,Flop
USA,Nelson Shin,Animation,The Transformers: The Movie,7.3,Orson Welles,Ron Friedman,Hit
USA,Hal Needham,Drama,Rad,7.2,Bart Conner,Sam Bernard,Hit
USA,Fred Dekker,Comedy,Night of the Creeps,6.8,Jason Lively,Fred Dekker,Average
USA,Tobe Hooper,Horror,Invaders from Mars,5.5,Karen Black,Richard Blake,Flop
USA,Walter Hill,Drama,Crossroads,7.1,Ralph Macchio,John Fusco,Hit
USA,James Foley,Crime,At Close Range,7,Sean Penn,Elliott Lewitt,Hit
USA,Peter Markle,Drama,Youngblood,6.1,Rob Lowe,Peter Markle,Average
USA,Corey Yuen,Action,"No Retreat, No Surrender",5.6,Kurt McKinney,See-Yuen Ng,Flop
USA,Anthony Perkins,Horror,Psicosis III,5.3,Anthony Perkins,Charles Edward Pogue,Flop
USA,Mike Nichols,Comedy,Heartburn,6.1,Meryl Streep,Nora Ephron,Average
USA,Michael Chapman,Adventure,The Clan of the Cave Bear,5.3,Daryl Hannah,Jean M. Auel,Flop
USA,Menahem Golan,Action,The Delta Force,5.6,Chuck Norris,James Bruner,Flop
USA,Wes Craven,Drama,Deadly Friend,5.5,Matthew Labyorteaux,Diana Henstell,Flop
USA,Edward Zwick,Comedy,About Last Night...,6.2,Rob Lowe,David Mamet,Average
USA,Steve Miner,Comedy,Soul Man,5.2,C. Thomas Howell,Carol Black,Flop
USA,Savage Steve Holland,Comedy,One Crazy Summer,6.4,John Cusack,Savage Steve Holland,Average
USA,Charles Martin Smith,Comedy,Trick or Treat,5.8,Marc Price,Rhet Topham,Flop
USA,Ron Howard,Comedy,Gung Ho,6.2,Michael Keaton,Edwin Blum,Average
USA,Sidney Lumet,Crime,The Morning After,6,Jane Fonda,James Cresson,Average
USA,Jerry Paris,Comedy,Police Academy 3: Back in Training,5.2,Steve Guttenberg,Neal Israel,Flop
USA,Spike Lee,Comedy,She's Gotta Have It,6.6,Tracy Camilla Johns,Spike Lee,Average
USA,Jim Abrahams,Comedy,Ruthless People,6.9,Bette Midler,Dale Launer,Average
USA,Paul Michael Glaser,Action,Band of the Hand,6.3,Stephen Lang,Leo Garen,Average
USA,John Frankenheimer,Crime,52 Pick-Up,6.4,Roy Scheider,Elmore Leonard,Average
USA,Randa Haines,Drama,Children of a Lesser God,7.2,William Hurt,Mark Medoff,Hit
USA,Mark L. Lester,Action,Armed and Dangerous,5.6,John Candy,Brian Grazer,Flop
USA,Jim Jarmusch,Comedy,Down by Law,7.8,Tom Waits,Jim Jarmusch,Hit
USA,Robert Mandel,Action,F/X,6.7,Bryan Brown,Robert T. Megginson,Average
USA,Jonathan Demme,Comedy,Something Wild,6.9,Jeff Daniels,E. Max Frye,Average
USA,Marshall Brickman,Sci-Fi,The Manhattan Project,6.1,John Lithgow,Marshall Brickman,Average
USA,Fred Walton,Horror,April Fool's Day,6.2,Deborah Foreman,Danilo Bach,Average
USA,Alan Johnson,Action,Solarbabies,4.8,Richard Jordan,Walon Green,Flop
USA,Jim McBride,Comedy,The Big Easy,6.6,Dennis Quaid,Daniel Petrie Jr.,Average
USA,Penny Marshall,Comedy,Jumpin' Jack Flash,5.8,Whoopi Goldberg,David Franzoni,Flop
USA,Jeff Kanew,Comedy,Tough Guys,6.2,Burt Lancaster,James Orr,Average
USA,Harley Cokeliss,Action,Black Moon Rising,5.4,Tommy Lee Jones,John Carpenter,Flop
USA,Roger Spottiswoode,Comedy,The Best of Times,5.9,Robin Williams,Ron Shelton,Flop
USA,Paul Mazursky,Comedy,Down and Out in Beverly Hills,6.1,Nick Nolte,Ren̩ Fauchois,Average
USA,Thomas Michael Donnelly,Crime,Quicksilver,5.6,Kevin Bacon,Thomas Michael Donnelly,Flop
USA,Mike Joens,Animation,My Little Pony: The Movie,6,Danny DeVito,George Arthur Bloom,Average
USA,Hal Ashby,Action,8 Million Ways to Die,5.7,Jeff Bridges,Lawrence Block,Flop
USA,Richard Pearce,Crime,No Mercy,5.7,Richard Gere,James Carabatsos,Flop
USA,Gene Wilder,Comedy,Haunted Honeymoon,5.6,Gene Wilder,Gene Wilder,Flop
USA,Ted Nicolaou,Comedy,TerrorVision,5.7,Diane Franklin,Ted Nicolaou,Flop
USA,Gary Nelson,Action,Allan Quatermain and the Lost City of Gold,4.4,Richard Chamberlain,H. Rider Haggard,Flop
USA,Garry Marshall,Comedy,Nothing in Common,5.9,Tom Hanks,Rick Podell,Flop
USA,J. Lee Thompson,Action,Firewalker,5,Chuck Norris,Robert Gosnell,Flop
USA,Richard Wenk,Comedy,Vamp,5.9,Chris Makepeace,Donald P. Borchers,Flop
USA,Duncan Gibbins,Drama,Fire with Fire,6.6,Craig Sheffer,Bill Phillips,Average
USA,Harold Ramis,Comedy,Club Paradise,4.9,Robin Williams,Harry Shearer,Flop
USA,Ivan Reitman,Comedy,Legal Eagles,5.9,Robert Redford,Ivan Reitman,Flop
USA,Robert M. Young,Drama,Extremities,6.3,Farrah Fawcett,William Mastrosimone,Average
USA,Brian De Palma,Comedy,Wise Guys,5.6,Danny DeVito,George Gallo,Flop
USA,Peter Medak,Drama,The Men's Club,4.5,David Dukes,Leonard Michaels,Flop
USA,Tom DeSimone,Drama,Reform School Girls,5.2,Linda Carol,Jack Cummins,Flop
USA,Sidney Lumet,Drama,Power,5.7,Richard Gere,David Himmelstein,Flop
USA,Jerry Kramer,Comedy,Modern Girls,5.9,Daphne Zuniga,Laurie Craig,Flop
USA,Bruce Beresford,Comedy,Crimes of the Heart,6.4,Diane Keaton,Beth Henley,Average
USA,John McTiernan,Horror,Nomads,5.5,Lesley-Anne Down,John McTiernan,Flop
USA,Peter Manoogian,Action,Eliminators,4.5,Andrew Prine,Paul De Meo,Flop
USA,J. Lee Thompson,Action,Murphy's Law,5.9,Charles Bronson,Gail Morgan Hickman,Flop
USA,David Byrne,Musical,True Stories,7,David Byrne,Stephen Tobolowsky,Hit
USA,Prince,Comedy,Under the Cherry Moon,4.9,Prince,Becky Johnston,Flop
USA,Bertrand Tavernier,Drama,'Round Midnight,7.4,Dexter Gordon,David Rayfiel,Hit
USA,Sam Firstenberg,Action,Avenging Force,5.9,Michael Dudikoff,James Booth,Flop
USA,Albert Magnoli,Drama,American Anthem,4,Mitchell Gaylord,Evan Archerd,Flop
USA,Richard Tuggle,Action,Out of Bounds,5.4,Anthony Michael Hall,Tony Kayden,Flop
USA,David Beaird,Comedy,My Chauffeur,5.6,Deborah Foreman,David Beaird,Flop
USA,Gene Saks,Comedy,Brighton Beach Memoirs,6.9,Blythe Danner,Neil Simon,Average
USA,Paul Nicholas,Drama,The Naked Cage,5.5,Shari Shattuck,Paul Nicholas,Flop
USA,Tom Moore,Drama,"'night, Mother",7.6,Sissy Spacek,Marsha Norman,Hit
USA,Blake Edwards,Action,A Fine Mess,4.5,Ted Danson,Blake Edwards,Flop
USA,Mark Griffiths,Comedy,Hardbodies 2,2.9,James Karen,Mark Griffiths,Flop
USA,Paul Schneider,Comedy,Willy/Milly,5.7,Pamela Adlon,Alan Friedman,Flop
USA,Janet Greek,Drama,The Ladies Club,5.3,Karen Austin,Casey Bishop,Flop
USA,Stuart Rosenberg,Action,Let's Get Harry,5.2,Michael Schoeffling,Mark Feldberg,Flop
USA,Daryl Duke,Adventure,Tai-Pan,5.5,Bryan Brown,John Briley,Flop
USA,Jeffrey Delman,Comedy,Deadtime Stories,4.6,Scott Valentine,Jeffrey Delman,Flop
USA,Dick Richards,Action,Heat,5.5,Burt Reynolds,William Goldman,Flop
USA,Robert Mandel,Comedy,Touch and Go,5.8,Michael Keaton,Alan Ormsby,Flop
USA,Alan Alda,Comedy,Sweet Liberty,5.7,Alan Alda,Alan Alda,Flop
USA,William Fruet,Comedy,Killer Party,4.7,Martin Hewitt,Barney Cohen,Flop
USA,Bill Sherwood,Drama,Parting Glances,7.8,John Bolger,Bill Sherwood,Hit
USA,Richard Pryor,Biography,"Jo Jo Dancer, Your Life Is Calling",6.3,Richard Pryor,Rocco Urbisci,Average
USA,Andrew Lane,Action,Jake Speed,5.3,Wayne Crawford,Wayne Crawford,Flop
USA,Renny Harlin,Action,Born American,4.3,Mike Norris,Renny Harlin,Flop
USA,Michelle Manning,Action,Blue City,4.4,Judd Nelson,Ross Macdonald,Flop
USA,Bob Weinstein,Comedy,Playing for Keeps,4.1,Daniel Jordano,Bob Weinstein,Flop
USA,Andrey Konchalovskiy,Drama,Duet for One,7,Julie Andrews,Tom Kempinski,Hit
USA,Evelyn Purcell,Comedy,Nobody's Fool,5.5,Rosanna Arquette,Beth Henley,Flop
USA,John Byrum,Comedy,The Whoopee Boys,6.2,Michael O'Keefe,Steve Zacharias,Average
USA,Blake Edwards,Comedy,That's Life!,6.1,Jack Lemmon,Milton Wexler,Average
USA,Hal Needham,Comedy,Body Slam,5.3,Dirk Benedict,Shel Lytton,Flop
USA,Jack Fisk,Drama,Violets Are Blue...,5.7,Sissy Spacek,Naomi Foner,Flop
USA,Jerrold Freedman,Drama,Native Son,5.9,Victor Love,Richard Wesley,Flop
USA,Eugene Corr,Drama,Desert Bloom,6.6,Jon Voight,Linda Remy,Average
USA,Lizzie Borden,Drama,Working Girls,6.5,Louise Smith,Lizzie Borden,Average
USA,Albert Pyun,Action,Dangerously Close,6.6,John Stockwell,Scott Fields,Average
USA,Carroll Ballard,Family,Nutcracker,7.2,Hugh Bigney,Kent Stowell,Hit
USA,Alan J. Pakula,Crime,Dream Lover,5.1,Kristy McNichol,Jon Boorstin,Flop
USA,Allan Burns,Drama,Just Between Friends,5.9,Mary Tyler Moore,Allan Burns,Flop
USA,Gary Hudson,Action,Thunder Run,5.1,Forrest Tucker,Charles Davis,Flop
USA,Paul Bartel,Comedy,The Longshot,5.4,Tim Conway,Tim Conway,Flop
USA,Michael Dinner,Comedy,Off Beat,5,Judge Reinhold,Dezș Magyar,Flop
USA,Joe Roth,Drama,Streets of Gold,6,Klaus Maria Brandauer,Dezș Magyar,Average
USA,Bert Convy,Action,Weekend Warriors,4.4,Chris Lemmon,Bruce Belland,Flop
USA,Fred Olen Ray,Action,Armed Response,4.9,David Carradine,T.L. Lankford,Flop
USA,Rob Nilsson,Drama,On the Edge,7.1,Bruce Dern,Roy Kissin,Hit
USA,Frank Harris,Action,Low Blow,3.5,Leo Fong,Leo Fong,Flop
USA,Glen Pitre,Drama,Belizaire the Cajun,6.4,Armand Assante,Glen Pitre,Average
USA,Clay Borris,Action,Quiet Cool,5.7,James Remar,Clay Borris,Flop
USA,Gideon Amir,Action,Behind Enemy Lines,4.9,David Carradine,Malcolm Barbour,Flop
USA,Francis Schaeffer,Action,Wired to Kill,4.2,Emily Longstreth,Francis Schaeffer,Flop
USA,Don Lusk,Animation,GoBots: Battle of the Rock Lords,5.8,Margot Kidder,Jeff Segal,Flop
USA,Dominic Orlando,Action,Knights of the City,4.8,Leon Isaac Kennedy,Leon Isaac Kennedy,Flop
USA,Robert M. Young,Comedy,Saving Grace,7,Tom Conti,Celia Gittelson,Hit
USA,Gary Grillo,Action,Jackals,5.3,Jack Lucarelli,Dennis A. Pratt,Flop
USA,Filippo Ottoni,Comedy,Detective School Dropouts,5.8,David Landsberg,Lorin Dreyfuss,Flop
USA,Christopher Cain,Adventure,Where the River Runs Black,6.6,Charles Durning,Neal Jimenez,Average
USA,Dennis Klein,Comedy,One More Saturday Night,5.7,Tom Davis,Tom Davis,Flop
USA,Rob Reiner,Adventure,The Princess Bride,8.1,Cary Elwes,William Goldman,Hit
USA,Emile Ardolino,Drama,Dirty Dancing,6.9,Patrick Swayze,Eleanor Bergstein,Average
USA,Joel Schumacher,Comedy,The Lost Boys,7.3,Jason Patric,Jan Fischer,Hit
USA,John McTiernan,Action,Predator,7.8,Arnold Schwarzenegger,Jim Thomas,Hit
USA,Paul Michael Glaser,Action,The Running Man,6.6,Arnold Schwarzenegger,Stephen King,Average
USA,Mel Brooks,Adventure,Spaceballs,7.1,Mel Brooks,Mel Brooks,Hit
USA,Paul Verhoeven,Action,RoboCop,7.5,Peter Weller,Edward Neumeier,Hit
USA,Richard Donner,Action,Lethal Weapon,7.6,Mel Gibson,Shane Black,Hit
USA,Brian De Palma,Crime,The Untouchables,7.9,Kevin Costner,Oscar Fraley,Hit
USA,Sam Raimi,Comedy,Evil Dead II,7.8,Bruce Campbell,Sam Raimi,Hit
USA,Gary Goddard,Action,Masters of the Universe,5.4,Dolph Lundgren,David Odell,Flop
USA,Fred Dekker,Action,The Monster Squad,7.2,Andre Gower,Shane Black,Hit
USA,Adrian Lyne,Drama,Fatal Attraction,6.9,Michael Douglas,James Dearden,Average
USA,Oliver Stone,Crime,Wall Street,7.4,Charlie Sheen,Stanley Weiser,Hit
USA,Steven Spielberg,Drama,Empire of the Sun,7.8,Christian Bale,Tom Stoppard,Hit
USA,Steve Rash,Comedy,Can't Buy Me Love,6.7,Patrick Dempsey,Michael Swerdlick,Average
USA,George Miller,Comedy,The Witches of Eastwick,6.5,Jack Nicholson,John Updike,Average
USA,Carl Reiner,Comedy,Summer School,6.5,Mark Harmon,Stuart Birnbaum,Average
USA,Chuck Russell,Action,A Nightmare on Elm Street 3: Dream Warriors,6.6,Heather Langenkamp,Wes Craven,Average
USA,Chris Columbus,Action,Adventures in Babysitting,6.9,Elisabeth Shue,David Simkins,Average
USA,John Irvin,Action,Hamburger Hill,6.7,Anthony Barrile,James Carabatsos,Average
USA,Joseph Sargent,Adventure,Jaws: The Revenge,2.9,Lorraine Gary,Peter Benchley,Flop
USA,Menahem Golan,Action,Over the Top,5.7,Sylvester Stallone,Gary Conway,Flop
USA,John Hughes,Comedy,"Planes, Trains & Automobiles",7.6,Steve Martin,John Hughes,Hit
USA,Joel Coen,Comedy,Raising Arizona,7.4,Nicolas Cage,Ethan Coen,Hit
USA,Howard Deutch,Drama,Some Kind of Wonderful,7.1,Eric Stoltz,John Hughes,Hit
USA,Michael Gottlieb,Comedy,Mannequin,5.8,Andrew McCarthy,Edward Rugoff,Flop
USA,Garry Marshall,Comedy,Overboard,6.8,Goldie Hawn,Leslie Dixon,Average
USA,Joe Dante,Action,Innerspace,6.8,Dennis Quaid,Chip Proser,Average
USA,Norman Jewison,Comedy,Moonstruck,7.1,Cher,John Patrick Shanley,Hit
USA,Tony Scott,Action,Beverly Hills Cop II,6.5,Eddie Murphy,Danilo Bach,Average
USA,William Dear,Comedy,Harry and the Hendersons,5.9,John Lithgow,William Dear,Flop
USA,Barry Levinson,Biography,"Good Morning, Vietnam",7.3,Robin Williams,Mitch Markowitz,Hit
USA,Leonard Nimoy,Comedy,3 Men and a Baby,5.9,Tom Selleck,Coline Serreau,Flop
USA,John Carpenter,Horror,Prince of Darkness,6.7,Donald Pleasence,John Carpenter,Average
USA,Luis Valdez,Biography,La Bamba,6.8,Lou Diamond Phillips,Luis Valdez,Average
USA,Kathryn Bigelow,Action,Near Dark,7,Adrian Pasdar,Kathryn Bigelow,Hit
USA,Marek Kanievska,Crime,Less Than Zero,6.4,Andrew McCarthy,Bret Easton Ellis,Average
USA,Roger Donaldson,Action,No Way Out,7.1,Kevin Costner,Kenneth Fearing,Hit
USA,Matthew Robbins,Comedy,*batteries not included,6.6,Hume Cronyn,Mick Garris,Average
USA,Charles Shyer,Comedy,Baby Boom,6.1,Diane Keaton,Nancy Meyers,Average
USA,Jeffrey Bloom,Drama,Flowers in the Attic,5.7,Louise Fletcher,Virginia C. Andrews,Flop
USA,James L. Brooks,Comedy,Broadcast News,7.2,William Hurt,James L. Brooks,Hit
USA,Michael Gornick,Comedy,Creepshow 2,6,George Kennedy,Stephen King,Average
USA,Christopher Leitch,Comedy,Teen Wolf Too,3.2,Jason Bateman,Jeph Loeb,Flop
USA,Fred Schepisi,Comedy,Roxanne,6.6,Steve Martin,Edmond Rostand,Average
USA,Herbert Ross,Comedy,The Secret of My Succe$s,6.5,Michael J. Fox,Jim Cash,Average
USA,Tom Mankiewicz,Comedy,Dragnet,5.9,Dan Aykroyd,Dan Aykroyd,Flop
USA,Blake Edwards,Comedy,Blind Date,5.9,Kim Basinger,Dale Launer,Flop
USA,Ethan Wiley,Comedy,House II: The Second Story,5.4,Arye Gross,Fred Dekker,Flop
USA,Jim Drake,Comedy,Police Academy 4: Citizens on Patrol,4.8,Steve Guttenberg,Neal Israel,Flop
USA,Rod Amateau,Adventure,The Garbage Pail Kids Movie,2.7,Anthony Newley,Linda Palmer,Flop
USA,Danny DeVito,Comedy,Throw Momma from the Train,6.2,Danny DeVito,Stu Silver,Average
USA,Jack Sholder,Action,The Hidden,7,Kyle MacLachlan,Jim Kouf,Hit
USA,Joe Dante,Comedy,Amazon Women on the Moon,6.2,Rosanna Arquette,Michael Barrie,Average
USA,Barbet Schroeder,Comedy,Barfly,7.3,Mickey Rourke,Charles Bukowski,Hit
USA,Phil Joanou,Comedy,Three O'Clock High,7.2,Casey Siemaszko,Richard Christian Matheson,Hit
USA,John Schlesinger,Crime,The Believers,6.1,Martin Sheen,Mark Frost,Average
USA,James Toback,Comedy,The Pick-up Artist,5.2,Molly Ringwald,James Toback,Flop
USA,Woody Allen,Comedy,Radio Days,7.6,Mia Farrow,Woody Allen,Hit
USA,John R. Cherry III,Comedy,Ernest Goes to Camp,5.5,Jim Varney,John R. Cherry III,Flop
USA,Ridley Scott,Crime,Someone to Watch Over Me,6.1,Tom Berenger,Howard Franklin,Average
USA,James Foley,Comedy,Who's That Girl,4.7,Madonna,Andrew Smith,Flop
USA,Hector Babenco,Drama,Ironweed,6.8,Jack Nicholson,William Kennedy,Average
USA,Bob Rafelson,Crime,Black Widow,6.3,Debra Winger,Ronald Bass,Average
USA,John Badham,Action,Stakeout,6.6,Richard Dreyfuss,Jim Kouf,Average
USA,Rod Daniel,Comedy,Like Father Like Son,5.1,Dudley Moore,Lorne Cameron,Flop
USA,Andrey Konchalovskiy,Drama,Shy People,6.9,Jill Clayburgh,Andrey Konchalovskiy,Average
USA,Joe Roth,Comedy,Revenge of the Nerds II: Nerds in Paradise,4.9,Robert Carradine,Tim Metcalfe,Flop
USA,J. Lee Thompson,Action,Death Wish 4: The Crackdown,5.3,Charles Bronson,Brian Garfield,Flop
USA,Jonathan Kaplan,Comedy,Project X,6.1,Matthew Broderick,Lawrence Lasker,Average
USA,William Phelps,Action,North Shore,6.5,Matt Adler,William Phelps,Average
USA,Ruggero Deodato,Fantasy,The Barbarians,4.9,David Paul,Alberto Piferi,Flop
USA,Elaine May,Action,Ishtar,4.2,Warren Beatty,Elaine May,Flop
USA,Robert Townsend,Comedy,Hollywood Shuffle,7,Robert Townsend,Robert Townsend,Hit
USA,Lawrence Bassoff,Comedy,Hunk,4.6,John Allen Nelson,Lawrence Bassoff,Flop
USA,David Mamet,Crime,House of Games,7.3,Lindsay Crouse,David Mamet,Hit
USA,Peter Werner,Crime,No Man's Land,6.1,Charlie Sheen,Dick Wolf,Average
USA,David Keith,Sci-Fi,The Curse,4.9,Wil Wheaton,David Chaskin,Flop
USA,Peter Yates,Crime,Suspect,6.6,Cher,Eric Roth,Average
USA,Christopher Cain,Action,The Principal,6.2,Jim Belushi,Frank Deese,Average
USA,Arthur Hiller,Comedy,Outrageous Fortune,6.1,Shelley Long,Leslie Dixon,Average
USA,Walter Hill,Action,Extreme Prejudice,6.6,Nick Nolte,John Milius,Average
USA,Sam Firstenberg,Action,American Ninja 2: The Confrontation,4.8,Michael Dudikoff,Gary Conway,Flop
USA,John Sayles,Drama,Matewan,7.9,Chris Cooper,John Sayles,Hit
USA,Bill Norton,Drama,Three for the Road,5.3,Charlie Sheen,Richard Martini,Flop
USA,Paul Weiland,Action,Leonard Part 6,2.2,Bill Cosby,Jonathan Reynolds,Flop
USA,Jerry Schatzberg,Crime,Street Smart,6.4,Christopher Reeve,David Freeman,Average
USA,Michael Cimino,Action,The Sicilian,5.3,Christopher Lambert,Mario Puzo,Flop
USA,Cheech Marin,Comedy,Born in East L.A.,5.9,Cheech Marin,Cheech Marin,Flop
USA,Paul Schrader,Drama,Light of Day,5.5,Michael J. Fox,Paul Schrader,Flop
USA,Bill Froehlich,Comedy,Return to Horror High,4.2,Lori Lethin,Bill Froehlich,Flop
USA,Lyndall Hobbs,Comedy,Back to the Beach,5.8,Frankie Avalon,James Komack,Flop
USA,Robert Collector,Horror,Nightflyers,4,Catherine Mary Stewart,George R.R. Martin,Flop
USA,Tom Holland,Action,Fatal Beauty,5.3,Whoopi Goldberg,Bill Svanoe,Flop
USA,Jeff Bleckner,Adventure,White Water Summer,6.2,Kevin Bacon,Manya Starr,Average
USA,Lindsay Anderson,Drama,The Whales of August,7.6,Bette Davis,David Berry,Hit
USA,Bob Giraldi,Comedy,Hiding Out,6.4,Jon Cryer,Joe Menosky,Average
USA,Jimmy Huston,Comedy,My Best Friend Is a Vampire,6.1,Robert Sean Leonard,Tab Murphy,Average
USA,Harley Cokeliss,Action,Malone,5.6,Burt Reynolds,Christopher Frank,Flop
USA,Steven Lisberger,Comedy,Hot Pursuit,5.8,John Cusack,Steven Lisberger,Flop
USA,Dennis Feldman,Action,Real Men,6.2,Jim Belushi,Dennis Feldman,Average
USA,Francis Ford Coppola,Drama,Gardens of Stone,6.4,James Caan,Nicholas Proffitt,Average
USA,Gary Sherman,Action,Wanted: Dead or Alive,5.9,Rutger Hauer,Michael Patrick Goodman,Flop
USA,Janice Karman,Animation,The Chipmunk Adventure,7.2,Ross Bagdasarian Jr.,Janice Karman,Hit
USA,Stephen Carpenter,Horror,The Kindred,5.5,Rod Steiger,Stephen Carpenter,Flop
USA,Alan Rudolph,Comedy,Made in Heaven,6.5,Timothy Hutton,Bruce A. Evans,Average
USA,Emilio Estevez,Crime,Wisdom,5.7,Emilio Estevez,Emilio Estevez,Flop
USA,Woody Allen,Drama,September,6.7,Elaine Stritch,Woody Allen,Average
USA,Lance Hool,Action,Steel Dawn,5,Patrick Swayze,Doug Lefler,Flop
USA,Renny Harlin,Crime,Prison,5.9,Lane Smith,Irwin Yablans,Flop
USA,Martin Ritt,Drama,Nuts,6.7,Barbra Streisand,Tom Topor,Average
USA,Barry Levinson,Comedy,Tin Men,6.5,Richard Dreyfuss,Barry Levinson,Average
USA,Lionel Chetwynd,Drama,The Hanoi Hilton,6,Michael Moriarty,Lionel Chetwynd,Average
USA,William Friedkin,Drama,Rampage,6.3,Michael Biehn,William P. Wood,Average
USA,Ben Bolt,Drama,The Big Town,5.9,Matt Dillon,Clark Howard,Flop
USA,Tamar Simon Hoffs,Comedy,The Allnighter,4,Susanna Hoffs,Tamar Simon Hoffs,Flop
USA,John Flynn,Action,Best Seller,6.5,James Woods,Larry Cohen,Average
USA,Mary Lambert,Drama,Siesta,5.6,Ellen Barkin,Patrice Chaplin,Flop
USA,Michael Hoffman,Drama,Promised Land,5.7,Jason Gedrick,Michael Hoffman,Flop
USA,Curtis Hanson,Crime,The Bedroom Window,6.4,Steve Guttenberg,Anne Holden,Average
USA,Amy Holden Jones,Fantasy,Maid to Order,5.5,Ally Sheedy,Amy Holden Jones,Flop
USA,Daniel Petrie,Drama,Square Dance,6.1,Jason Robards,Alan Hines,Average
USA,Phil Alden Robinson,Comedy,In the Mood,6.1,Patrick Dempsey,Robert Kosberg,Average
